identifier,logFC,logCPM,p-Value,FDR
FDPSP2,2.540781237,-0.411507947,0.006,0.221941989
MARVELD2,2.533252173,-2.512358304,0.009,0.246209156
CDKL2,2.532532252,-1.783639955,0.005,0.219690747
DCX,2.523879165,-0.834156059,0.005,0.220109417
SHISA9,2.512104389,-1.341600435,0.005,0.217960803
C4orf26,2.500850196,-2.379402603,0.006,0.225551985
DNAH5,2.494011313,-0.666179247,0.002,0.191234855
CD3G,2.488284062,-2.736663657,0.004,0.210678648
TTC23L,2.458554681,-2.396828269,0.007,0.234044931
PDE6A,2.455681278,-1.240531706,0.006,0.225551985
APOBEC3H,2.401766507,-2.888544311,0.01,0.253657854
LINC00311,2.398008933,-1.903180892,0.005,0.218790221
CXCL2,2.380555759,3.519500259,0.006,0.226755812
LINC00632,2.376473949,-2.342475401,0.006,0.222134806
SALL4,2.373328479,-1.823346189,0.009,0.252552239
LOC105372582,2.354693181,-1.254475069,0.01,0.256134303
FAM106CP,2.317873302,-1.055540206,0.002,0.194174118
RASD1,2.3094711,4.154178406,0.002,0.191234855
CACNA1F,2.299736728,-1.579083494,0.006,0.223125303
ELAVL2,2.29419776,-1.824030263,0.006,0.222134806
KIAA0087,2.272749984,-1.927118812,0.009,0.250483329
GIPR,2.229446031,-1.087311134,0.007,0.230796247
CIDEA,2.227995054,1.363123559,0.002,0.194545554
BCL11B,2.225672349,-0.195238457,0.007,0.228342038
TNFRSF11B,2.216403061,-1.335497684,0.002,0.192168798
CA13,2.18213629,-0.840985652,0.005,0.219283285
ANKRD20A9P,2.181820229,0.63166874,0.009,0.252635922
FAM106B,2.18049267,-1.57994189,0.003,0.2032697
SEMA3E,2.172381943,-0.630841973,0.002,0.191234855
GPRC5A,2.168588249,0.370288789,0.002,0.194174118
LOC285819,2.166219813,-1.953704945,0.002,0.194545554
LOC730101,2.163547538,0.837781915,0.006,0.222532843
IL1RL1,2.150883866,-1.201593781,0.007,0.234044931
RGS2,2.129052339,2.828755766,0.003,0.2032697
RYBP,2.114758863,3.511309761,0.005,0.219690747
C3orf52,2.077397256,-1.8568527,0.01,0.253729365
HOOK1,2.069724695,-1.380956575,0.004,0.209322496
PCDH9,2.049514476,1.824649424,0.002,0.202434568
CDH19,2.04573354,-0.969063899,0.004,0.210678648
PGA4,2.045401382,-0.53777257,0.002,0.189521674
STARD4,2.029872878,0.482433411,0.002,0.194545554
CYP2B7P,2.028075797,-2.117908667,0.008,0.24169571
TFPI2,2.002665519,1.163772678,0.002,0.194545554
PDK4,1.996778945,7.963782527,0.007,0.231265749
PGA5,1.989124504,-1.310802415,0.003,0.2032697
KCNAB3,1.987021206,-0.934974294,0.006,0.220521992
LINC00641,1.977671518,2.353823921,0.008,0.244562119
LOC102724571,1.961975776,-2.353937,0.006,0.225551985
SEZ6L,1.946478884,-1.363827927,0.008,0.241290484
TNFSF9,1.919545932,0.688909646,0.004,0.209807759
ZNF483,1.870989441,-1.017278234,0.008,0.243801287
M1AP,1.870747513,-2.422051134,0.006,0.227254775
FAAP24,1.86992066,-1.265905133,0.004,0.209322496
KLHL15,1.858221838,3.073661708,0.006,0.225551985
CHD1,1.844381101,4.029586419,0.006,0.227254775
AP1S3,1.842475525,-0.423651743,0.01,0.253657854
CDS1,1.823337006,-1.389088141,0.007,0.228197549
CRTAC1,1.818071577,1.589501425,0.002,0.194545554
GYG2,1.804391671,2.184985421,0.005,0.219283285
GRHL1,1.78103029,-0.804229654,0.004,0.210678648
FSIP1,1.778064996,-1.485011155,0.005,0.218790221
